1	721
1.01	715
1.02	709
1.03	703
1.04	698
1.05	692
1.06	686
1.07	681
1.08	675
1.09	670
1.1	665
1.11	660
1.12	654
1.13	649
1.14	645
1.15	640
1.16	635
1.17	630
1.18	626
1.19	621
1.2	617
1.21	612
1.22	608
1.23	604
1.24	599
1.25	595
1.26	591
1.27	587
1.28	583
1.29	579
1.3	575
1.31	572
1.32	568
1.33	564
1.34	560
1.35	557
1.36	553
1.37	550
1.38	546
1.39	543
1.4	540
1.41	536
1.42	533
1.43	530
1.44	527
1.45	523
1.46	520
1.47	517
1.48	514
1.49	511
1.5	508
1.51	505
1.52	502
1.53	500
1.54	497
1.55	494
1.56	491
1.57	488
1.58	486
1.59	483
1.6	481
1.61	478
1.62	475
1.63	473
1.64	470
1.65	468
1.66	465
1.67	463
1.68	461
1.69	458
1.7	467
1.71	477
1.72	100000
